frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
574,  bicycle,0.725,206.500,585.000,20,452,373,266,1280,720
574,  pedestrian,0.561,562.000,410.500,517,320,90,181,1280,720
575,  bicycle,0.731,1191.000,414.500,1116,327,150,175,1280,720
575,  bicycle,0.719,218.000,597.000,23,475,390,244,1280,720
575,  pedestrian,0.670,611.000,411.500,552,321,118,181,1280,720
575,  bicycle,0.503,199.500,425.500,53,311,293,229,1280,720
576,  bicycle,0.788,1214.000,410.500,1150,326,128,169,1280,720
576,  bicycle,0.724,227.000,598.500,22,478,410,241,1280,720
576,  pedestrian,0.636,650.000,410.500,591,318,118,185,1280,720
577,  bicycle,0.755,1227.500,422.500,1176,356,103,133,1280,720
577,  pedestrian,0.723,681.000,409.000,634,315,94,188,1280,720
577,  bicycle,0.561,239.000,594.500,22,470,434,249,1280,720
578,  pedestrian,0.773,727.000,410.500,673,320,108,181,1280,720
578,  bicycle,0.703,1241.500,415.500,1204,347,75,137,1280,720
579,  pedestrian,0.777,767.000,411.500,714,322,106,179,1280,720
579,  pedestrian,0.546,521.500,424.000,476,325,91,198,1280,720
579,  bicycle,0.543,267.000,596.500,27,474,480,245,1280,720
580,  pedestrian,0.849,806.000,412.500,754,325,104,175,1280,720
580,  bicycle,0.596,246.000,442.000,107,309,278,266,1280,720
581,  pedestrian,0.792,846.000,408.000,786,319,120,178,1280,720
581,  pedestrian,0.582,526.000,432.500,488,360,76,145,1280,720
581,  bicycle,0.547,271.000,439.500,131,304,280,271,1280,720
581,  pedestrian,0.514,653.500,440.000,613,325,81,230,1280,720
